name,ra,dec,Class,significance,F_s,F_m,F_h,F_b,P_intra,P_inter,name_cat,ra_cat,dec_cat,SubClass,ref,MW_MW,p_any,p_i,G,BP,RP,RPlx,PM,epsi,sepsi,ruwe,rgeo,J,H,K,W1,W2,W3
2CXO J204710.2+105307,311.7927039,10.8855053,LMXB,3.75000000000006,7.135862012704652e-16,1.8732811093750002e-15,8.561185521843891e-15,1.1148052832489355e-14,0.7806504395339,0.982,J2047+1053,311.79269166666666,10.8855,UL[rap+12],2005AJ....129.1993M,-99,0.0,0.0,,,,,,,,,,,,,,,
2CXO J062153.2-271002,95.4716931,-27.1673729,CV,7.670878516024618,4.796111471164e-15,3.5011262003529838e-15,1.1722680308896522e-14,2.0019917980413507e-14,0.58986628005533,,AT2016hvt,95.47154166666664,-27.16736111111112,CataclyV;CV*|ev,2020RNAAS...4..219J,-99,0.0,0.0,,,,,,,,,,,,,,,
2CXO J112401.1-365319,171.0047099,-36.8886476,LMXB,10.266420896918898,1.4209514661508e-14,9.508531215142541e-15,3.383912992342521e-14,5.755717580007575e-14,0.972550455681664,,J1124-3653,171.00465,-36.88863888888889,;Psr|gam,2005AJ....129.1993M,-99,0.0,0.0,,,,,,,,,,,,,,,
2CXO J141430.1-651622,213.625534,-65.2728568,CV,30.777429530317576,7.638802192710132e-15,1.2359550552736703e-14,7.732609437392438e-14,9.732444711937121e-14,1.0,0.998,J1414-6516,213.625417,-65.273056,NL;X,2003A&A...404..301R,-99,0.0,0.0,,,,,,,,,,,,,,,
2CXO J165000.9-495744,252.503942,-49.9622941,LMXB,86.04466633434998,1.2756281750416842e-16,1.36992733894868e-16,3.5167709404166806e-15,3.781326491815717e-15,0.13741268669617,,J1650-4957,252.503333,-49.9625,"XT;T, R;K4V;BH?|HXB|LXB|V*|X|gam",2003A&A...404..301R,-9,0.0,0.0,,,,,,,,,,,,,,,
2CXO J173413.4-260518,263.5560341,-26.0885277,LMXB,14.811133502624216,5.939491469685557e-16,2.179437600700912e-15,7.091110708953622e-16,3.4824978185648298e-15,0.931490364183743,1.0,KS 1731-260,263.556125,-26.08855556,"T, B;;*|LXB|X|gam",2007A&A...469..807L,-99,0.0,0.0,,,,,,,,,,,,,,,
2CXO J173953.9-282946,264.9747463,-28.4962303,LMXB,4.378378378377972,8.334132214595498e-16,6.604260172504791e-15,1.0701601736906632e-14,1.813927513087097e-14,0.76256262024913,0.204,XTE J1739-285,264.97479167,-28.49633333,"T, B;LMXB;;LMXB (B, NS, T);LXB|N*?|X",2007A&A...469..807L,-99,0.0,0.0,,,,,,,,,,,,,,,
2CXO J174931.7-280805,267.382206,-28.1347369,LMXB,6.976798504649654,3.6422004122260896e-15,1.607825555080847e-15,5.0676788662310175e-14,5.592681462961712e-14,0.55892299856044,0.308,J1749-2808,267.382083,-28.134722,XB;G3V-G5V;NIR,2003A&A...404..301R,-99,0.0,0.0,,,,,,,,,,,,,,,
2CXO J181044.4-260901,272.6852764,-26.1503718,LMXB,9.29145716449968,6.303184751258203e-15,4.248147308554356e-15,6.785000930661081e-15,1.7336332990473642e-14,0.5387446628377299,,SAX J1810.8-2609,272.68529167,-26.15033333,"T, B;LMXB;;CV*|LXB|V*|X|gam",2007A&A...469..807L,-99,0.0,0.0,,,,,,,,,,,,,,,
2CXO J185841.4+223929,284.6728696,22.6583106,LMXB,2.1111111111110903,5.176135070432181e-16,4.2737123161293006e-16,7.186823036024254e-16,1.6636670422585733e-15,0.82401954657819,,V406 Vul,284.67375,22.658333,"XT;T, M, R;G5V-K0V;BH?|HXB|LXB|V*|X|ev|gam",2003A&A...404..301R,-99,0.0,0.0,,,,,,,,,,,,,,,
